tier,rank,match_id,queueType,region,sub_region
BRONZE,III,EUN1_3932645732,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3932628946,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3932626573,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3930880848,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929930128,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929908685,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929872128,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929849431,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929825045,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929618120,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929424681,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929403013,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929383676,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3929385108,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3961154251,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3961129469,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3961093951,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3961087602,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956909969,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956900582,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956381891,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956351585,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956324285,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956296963,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956120226,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956117245,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956106350,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3956090462,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955940789,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955924441,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955900989,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955882659,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955866710,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955836882,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955842077,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955514131,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955481262,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955438749,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955403803,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955385806,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955372890,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955352713,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3955304941,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954933829,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954881029,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954871687,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954861574,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954857033,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954812942,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,EUN1_3954811889,RANKED_SOLO_5x5,europe,eun1
