tier,rank,match_id,queueType,region,sub_region
BRONZE,II,EUN1_3905654645,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3905638047,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3905517213,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3905481717,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3905443708,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3618653874,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617858999,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617848246,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617694017,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617682472,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617664712,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617531841,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617509797,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617472338,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617449958,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617153332,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617125917,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3617106742,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616933011,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616931144,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616905210,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616892361,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616868673,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616869349,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616342371,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616314668,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3616290153,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963726954,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963707436,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963678642,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963268069,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963228522,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3963204166,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962789047,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962781197,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962768713,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962753341,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962710611,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962698491,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962699110,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962043329,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3962004979,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961732251,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961726392,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961155208,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961119747,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961102191,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961087222,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961058518,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,EUN1_3961044257,RANKED_SOLO_5x5,europe,eun1
