tier,rank,match_id,queueType,region,sub_region
BRONZE,IV,EUN1_3962573915,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3961365936,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3958702031,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3958480018,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3957893234,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3957885266,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3957048356,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3957021570,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3955345924,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3954276737,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3954046694,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3954041311,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3953493539,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3953465629,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3953433730,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3951895601,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3951655806,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3951633881,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3951615347,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3950819209,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3950466883,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3950474166,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949681241,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949666715,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949646018,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949356093,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949211890,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949173407,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3949133158,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3947368913,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3946248968,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3946225900,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945981025,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945791981,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945780027,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945770414,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945751390,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945731165,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945529588,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3945516085,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3944614301,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3944601251,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3944572046,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3943857632,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3943841984,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3943671133,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3943639213,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3943290077,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3942994676,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,EUN1_3942967195,RANKED_SOLO_5x5,europe,eun1
