tier,rank,match_id,queueType,region,sub_region
CHALLENGER,I,EUN1_3964314719,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964312386,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964309181,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964302927,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964305478,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964298628,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964295816,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964292541,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964284785,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964277804,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964273125,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964253554,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964084909,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964061220,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964032490,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3964008511,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963995133,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963661971,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963610816,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963585938,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963569485,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963225452,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963172225,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963134514,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963051041,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963029667,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3963014273,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962999049,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962989038,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962979675,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962981512,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962778408,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962713230,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962561006,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962563508,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962564119,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962257968,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,EUN1_3962040640,RANKED_SOLO_5x5,europe,eun1
