tier,rank,match_id,queueType,region,sub_region
DIAMOND,III,EUN1_3963326743,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3963224439,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3963136005,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3963125258,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961920838,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961623234,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961561642,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961527893,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961512432,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961506171,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961483903,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961200884,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3961180681,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3960267038,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3960159023,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3960143864,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3959268495,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957937476,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957567218,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957375732,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957160479,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957135070,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957093686,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957038629,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3957008648,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3950296436,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3949925663,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3947837801,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3947821939,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3947824572,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3947050143,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3946887548,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3946887219,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3946868618,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3946760642,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3946752057,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3931421239,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3931340146,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3929843550,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3929829139,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3900109867,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3900100774,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899537941,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899540465,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899537419,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899538096,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899534119,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3899521895,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3898941166,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,EUN1_3898932657,RANKED_SOLO_5x5,europe,eun1
