tier,rank,match_id,queueType,region,sub_region
DIAMOND,II,EUN1_3926207435,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921681981,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921675519,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921650290,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921640831,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921444995,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921437144,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3921045158,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3920980521,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3920552315,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3920342329,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919982566,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919911366,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919545402,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919526080,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919443620,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3919070147,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918715346,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918595060,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918527409,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918444641,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918139293,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918043105,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3918001945,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3917927571,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3917514447,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3917435006,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3917399708,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3917338135,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916984391,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916911316,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916633300,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916513702,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916506038,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916417242,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3916021265,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3915922482,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3915794126,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3915532430,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3915394857,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3915003515,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914942680,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914874543,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914507810,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914422957,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914292424,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3914268489,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3913932412,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3913821832,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,EUN1_3913766125,RANKED_SOLO_5x5,europe,eun1
