tier,rank,match_id,queueType,region,sub_region
DIAMOND,IV,EUN1_3957510595,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3957154301,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3956672370,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3956150899,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3956143025,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3956143503,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3955912082,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3955880813,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3955861946,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3955778705,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3954475480,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3954109217,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3954063664,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3954056405,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3953834612,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3953812087,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3953774041,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3953688259,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3950025468,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3950006745,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3949948885,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3949521954,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3902770277,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3891314441,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3888071350,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3887645464,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3887623039,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3887605038,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3887441997,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3858886560,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3857663122,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3848348496,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3845373258,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3818815285,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3816284958,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3815416364,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3814977100,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3814956691,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3813379300,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3813350565,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812913338,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812847609,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812838613,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812823790,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812815040,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3812526924,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3810477781,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3810466137,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3810369380,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,EUN1_3810346699,RANKED_SOLO_5x5,europe,eun1
