tier,rank,match_id,queueType,region,sub_region
DIAMOND,I,EUN1_3953637604,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3953628417,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3953619358,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939996129,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939977305,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939955380,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939934095,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939917584,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939904251,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939873929,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939866004,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939857181,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939835070,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939835628,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3939826737,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3938821313,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3934027998,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3928829694,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3918597399,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3918367774,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3917728111,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3917708633,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3916140215,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3915958071,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3914267136,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3914234271,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913530322,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913512698,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913220059,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913198171,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913148159,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913123513,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913105498,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3913083289,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3912673950,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3912642598,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3912630139,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3911703165,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3911665650,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3910457265,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3910431345,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3910407332,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3909325959,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3904038462,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3903354246,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3902878694,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3902734862,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3902721704,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3902715377,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,EUN1_3902286499,RANKED_SOLO_5x5,europe,eun1
