tier,rank,match_id,queueType,region,sub_region
EMERALD,III,EUN1_3912079981,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3912064174,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3912041751,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910932641,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910897610,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910887615,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910865049,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910866306,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910458823,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910434854,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910399490,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910346576,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910324204,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910288994,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910263924,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3910249392,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909966389,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909942460,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909917439,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909839653,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909820453,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909808204,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909783015,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909774110,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909750883,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909728867,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909703452,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909691410,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909293482,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909278111,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3909160102,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908667605,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908658319,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908653517,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908644267,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908620051,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908614302,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908180999,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908162478,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908141052,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908135553,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908115970,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908073046,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908063037,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908056621,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908047734,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908042655,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3908037918,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3907923952,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,EUN1_3907895020,RANKED_SOLO_5x5,europe,eun1
