tier,rank,match_id,queueType,region,sub_region
EMERALD,II,EUN1_3903840357,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3902504957,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3902472118,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3902430355,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901946914,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901811242,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901752833,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901728123,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901689689,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901655073,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901620420,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901258497,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901234491,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901197610,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3901185239,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900690714,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900670926,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900607945,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900584905,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900545833,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900498003,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900465548,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900429857,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900402002,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900383506,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900341824,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900324973,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900305479,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900055242,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3900006907,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899971439,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899919964,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899871633,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899837491,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899813468,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899511402,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899502300,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899480045,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899465110,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899342105,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899307132,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899262346,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899221681,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3899151588,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898917639,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898909144,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898884049,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898869298,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898828954,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,EUN1_3898750498,RANKED_SOLO_5x5,europe,eun1
