tier,rank,match_id,queueType,region,sub_region
EMERALD,IV,EUN1_3907579869,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3907563909,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906875546,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906553017,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906518909,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906491854,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906479194,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906457379,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906407955,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3906385794,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905928231,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905910433,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905883823,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905816480,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905784036,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905672852,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905081740,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3905070419,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3904485955,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3904435027,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3904435386,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3904435226,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3903729724,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3903673792,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3903347572,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3903329736,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3901407153,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3901386665,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3901377512,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3901290322,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900788021,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900783009,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900780811,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900716753,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900721095,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900500097,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900300032,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900218566,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900204589,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900117155,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900099842,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900071095,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3900040853,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899916794,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899886357,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899689024,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899656031,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899451403,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899308401,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,EUN1_3899263421,RANKED_SOLO_5x5,europe,eun1
