tier,rank,match_id,queueType,region,sub_region
EMERALD,I,EUN1_3963798501,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3963796317,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3963779810,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3963333859,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3959483154,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893944030,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893925366,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893891382,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893687560,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893664316,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893633051,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893603854,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893318705,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893294407,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893269369,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3893242395,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3892098686,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3891570485,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3891558299,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3891499007,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890791427,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890416266,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890385588,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890361100,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890195600,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3890172690,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889848768,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889829213,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889775246,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889344001,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889326038,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889319329,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889164398,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889138496,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889114474,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889085727,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889056006,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3889024950,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888781493,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888760368,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888735741,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888692113,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888668913,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888655893,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888641015,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888630942,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3888302450,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3887561400,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3887458489,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EUN1_3887176197,RANKED_SOLO_5x5,europe,eun1
