tier,rank,match_id,queueType,region,sub_region
GOLD,III,EUN1_3964149104,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3963732566,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3962852546,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3962031672,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3962007346,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3961984827,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3961156807,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3961132372,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3960252643,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3960223350,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3959411250,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958968444,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958937459,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958054622,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958030292,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958012955,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3958010532,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3957668694,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3957629643,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3956817432,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3956798133,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3956431078,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3956390008,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955958483,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955933238,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955595845,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955582795,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955560856,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955542129,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955527303,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955506281,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955483345,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3955059074,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954739740,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954685248,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954651822,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954240473,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954236377,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3954214202,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3953849471,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3953825353,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3953395940,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952997224,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952969371,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952412376,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952382484,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952354819,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3952336268,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3951620931,RANKED_SOLO_5x5,europe,eun1
GOLD,III,EUN1_3951602716,RANKED_SOLO_5x5,europe,eun1
