tier,rank,match_id,queueType,region,sub_region
GOLD,II,EUN1_3947855091,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3947837422,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3947820053,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3947816262,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3946535866,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3946339151,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3946322481,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945772457,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945755353,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945739842,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945715073,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945689647,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945666389,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945646342,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945164831,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945149845,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3945136758,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944470716,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944452790,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944438264,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944415140,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944394608,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944350148,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944099463,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944074822,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944053164,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944027074,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3944000727,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3943978291,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3943967067,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3939078432,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3939056855,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3939035671,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3938643272,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3938615896,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3938557739,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3938546911,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3938532290,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937856852,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937843682,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937824238,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937682138,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937673217,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937666391,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937447179,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937421648,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937397719,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937377668,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937166502,RANKED_SOLO_5x5,europe,eun1
GOLD,II,EUN1_3937161336,RANKED_SOLO_5x5,europe,eun1
