tier,rank,match_id,queueType,region,sub_region
GOLD,IV,EUN1_3932966294,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3932949776,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3925709255,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3925192380,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3925160079,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3920554759,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3920315032,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3919001188,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3918975545,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3918951002,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3918427373,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3917627535,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3917597532,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916516459,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916477877,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916452023,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916440183,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916413802,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916057106,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916018689,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3916001339,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915975151,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915947366,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915918544,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915547776,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915472927,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915451587,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915096257,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915083139,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3915031036,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914824847,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914814998,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914800015,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914787149,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914752896,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914741770,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914737163,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914639453,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914568082,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914529636,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914320673,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914285177,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914251883,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3914150770,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913867620,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913821901,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913820729,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913599046,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913567610,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,EUN1_3913267809,RANKED_SOLO_5x5,europe,eun1
