tier,rank,match_id,queueType,region,sub_region
GOLD,I,EUN1_3923074288,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3923065408,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3923047873,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3923038456,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3923009706,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3921051303,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3921012501,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920980533,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920961276,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920936761,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920906904,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920878655,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920858711,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920831062,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920560074,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920533375,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920500956,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920413751,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3920391055,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918386282,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918379255,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918369681,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918336132,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918328881,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918333147,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918325761,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918329360,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918327155,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918324164,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918314843,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918313430,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918282379,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918263649,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918233055,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918210673,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918183793,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918162610,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3918047698,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917545696,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917528075,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917498947,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917477659,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917456010,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917444247,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917422181,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917395209,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917385247,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917357042,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917339041,RANKED_SOLO_5x5,europe,eun1
GOLD,I,EUN1_3917329398,RANKED_SOLO_5x5,europe,eun1
