tier,rank,match_id,queueType,region,sub_region
GRANDMASTER,I,EUN1_3964311443,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964310136,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964302927,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964303754,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964305372,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964302412,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964298227,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964098355,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3964072799,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963803928,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963786435,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963764539,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963230423,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963204984,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963187175,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963167218,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3963136494,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962636189,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962628248,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962618269,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962556914,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962555802,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962554547,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962554107,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962546508,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962539615,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962534100,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962520433,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962229134,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962219163,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962201499,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962194219,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962185433,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962180739,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962172703,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3962114646,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961985793,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961973248,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961957328,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961929049,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961918090,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961889978,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961768368,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961757592,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961747571,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961739276,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961731099,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961640950,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961626949,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961610928,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961598279,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961576776,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961558821,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961534951,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961405211,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,EUN1_3961393181,RANKED_SOLO_5x5,europe,eun1
