tier,rank,match_id,queueType,region,sub_region
IRON,III,EUN1_3964005346,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3963987307,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3963501698,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3963348772,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962999481,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962944801,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962942910,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962936553,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962925513,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962906595,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962906205,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962598807,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962599195,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962507187,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962497126,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962198703,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962188049,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962113773,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962104319,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3962091152,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961746569,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961658394,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961636654,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961317857,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961183881,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3961186452,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960869586,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960864661,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960858816,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960688698,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960657475,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960629793,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960610536,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960347250,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960322808,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960303962,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960291589,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3960282922,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959995223,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959986338,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959980386,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959979108,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959967044,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959707281,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959691348,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959669051,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959661177,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959637767,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959265498,RANKED_SOLO_5x5,europe,eun1
IRON,III,EUN1_3959246495,RANKED_SOLO_5x5,europe,eun1
