tier,rank,match_id,queueType,region,sub_region
IRON,II,EUN1_3955658774,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3955662437,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3955658598,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3919569260,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3919465327,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3919441399,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3917334916,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3917296484,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3917286483,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3917011694,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3916722783,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3916491475,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3916343969,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3640282859,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3640257711,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3638823810,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3638809243,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3625996706,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3625378066,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3623557921,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3622812042,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3622677127,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3622313736,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3621681859,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3620212139,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3620194246,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3615134111,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3615085807,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614900489,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614888272,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614652248,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614631278,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614611515,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3614600183,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3951659396,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3951653155,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3951035881,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950786106,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950773665,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950760200,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950505365,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950464850,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950457380,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950349638,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950185214,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950146997,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3950134229,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3949756261,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3949722843,RANKED_SOLO_5x5,europe,eun1
IRON,II,EUN1_3949689229,RANKED_SOLO_5x5,europe,eun1
