tier,rank,match_id,queueType,region,sub_region
IRON,IV,EUN1_3953679782,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3951912260,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3950060491,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3950054282,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3944273763,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3944259842,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3944050304,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3944022032,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3943877619,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3943856824,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942902219,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942890231,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942884187,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942867732,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942446125,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3942442125,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3931667899,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3912955136,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3912941062,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3912935589,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3912463230,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3912460559,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3911509839,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3909254602,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3909238548,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3909223090,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3908189271,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3907931332,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3907910329,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3905198272,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3905169788,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3905152821,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3904752345,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3904706884,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3904609080,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3904581327,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3904559676,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3903995298,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3903970901,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3902960732,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901673788,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901517730,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901469594,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901448516,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901395598,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901319656,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901304351,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901283130,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3901250378,RANKED_SOLO_5x5,europe,eun1
IRON,IV,EUN1_3900848240,RANKED_SOLO_5x5,europe,eun1
