tier,rank,match_id,queueType,region,sub_region
MASTER,I,EUN1_3964376379,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964362831,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964341395,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964321638,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964312386,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964306418,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3964297199,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963981015,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963884807,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963876052,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963863231,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963862256,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963847374,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963417505,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963391277,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963381892,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963359639,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3963360225,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962996393,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962989144,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962970356,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962966235,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962881279,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962745314,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962732099,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962574132,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962565831,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962563938,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962569334,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962563389,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962556620,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962555315,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962546508,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962540230,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962525556,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962508612,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962493389,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962471725,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962186281,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962174340,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962166561,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962170257,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962158011,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962156776,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962155607,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962136889,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962107967,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962098199,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3962058368,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961895323,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961851453,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961840201,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961817766,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961810120,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961698761,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961695785,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961693680,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961699140,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961691535,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961692115,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961682628,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961682194,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961677139,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961669185,RANKED_SOLO_5x5,europe,eun1
MASTER,I,EUN1_3961646768,RANKED_SOLO_5x5,europe,eun1
