tier,rank,match_id,queueType,region,sub_region
PLATINUM,III,EUN1_3927066765,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3927061233,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3889756609,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3889729418,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3889697401,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3889672859,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3889650606,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3861172699,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3861144133,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3861120532,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3861096944,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3824641444,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3824621788,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3824493086,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3824488275,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3823505016,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3823508395,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3808240613,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3808085260,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3808071612,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3808053692,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807979388,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807957757,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807722530,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807702996,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807682011,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807384553,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807387093,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807370534,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3807366798,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805829166,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805822120,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805788762,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805776677,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805462244,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805448988,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805449496,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805439380,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805432490,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805420706,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805412679,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805403676,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3805386008,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3804630084,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3804615015,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3776516471,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3764057308,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3763881834,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3763874450,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,EUN1_3763854362,RANKED_SOLO_5x5,europe,eun1
