tier,rank,match_id,queueType,region,sub_region
PLATINUM,II,EUN1_3958358508,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3958348226,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3955683901,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3949482111,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3949474837,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3949472089,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3945923493,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3945908816,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3945896665,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3944684229,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3944665387,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3942926407,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3942900292,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3936807450,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3936391643,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3915510573,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3915374769,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3913641574,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3912972408,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3912958843,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3907229970,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905701988,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905701579,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905684677,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905679780,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905178495,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905153562,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905137279,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3905123137,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3903258727,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3903250913,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3901760639,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3901734696,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3900228202,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3899380334,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3899345589,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3899022970,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3897700840,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3897697076,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3897629787,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3897204416,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3874110884,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865925436,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865900784,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865881812,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865858261,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865828480,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865806276,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3865784290,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,EUN1_3863850339,RANKED_SOLO_5x5,europe,eun1
