tier,rank,match_id,queueType,region,sub_region
PLATINUM,IV,EUN1_3894690071,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894660196,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894636897,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894449454,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894381818,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894321673,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894262448,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894250330,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3894175879,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3891803136,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3891785911,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3891308921,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889759246,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889733673,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889707533,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889663308,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889605539,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889575285,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889548946,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3889520590,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3884780986,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3884765117,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3877934348,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3877797347,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3869778684,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866619954,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866388353,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866320066,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866305417,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866253157,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3866206291,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3864374797,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3864340860,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3864237971,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3864171537,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3864122371,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3863443722,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3863356009,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3863320571,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3863290475,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3862938382,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3862903365,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3862446031,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3862436420,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3862277886,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3861747488,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3861620526,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3860210549,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3857699639,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,EUN1_3840783515,RANKED_SOLO_5x5,europe,eun1
