tier,rank,match_id,queueType,region,sub_region
PLATINUM,I,EUN1_3934674078,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934662552,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934263914,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934258203,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934199925,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934206131,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934016449,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3934015257,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3933980070,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3933960067,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3930090025,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3928334579,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3926540395,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3926520539,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3926507271,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3926487831,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925994658,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925916598,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925916426,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925656537,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925555387,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925542436,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925520855,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3925512732,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3924530113,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3924068116,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3924047043,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3924042207,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3923250108,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3923229600,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3923212608,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3920193095,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919909516,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919893406,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919831008,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919818420,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919717906,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919718460,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919529564,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919494680,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919369470,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919357656,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919332205,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919327227,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919313574,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919308430,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919293717,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919281069,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919272107,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,EUN1_3919082869,RANKED_SOLO_5x5,europe,eun1
