tier,rank,match_id,queueType,region,sub_region
SILVER,III,EUN1_3963249636,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3951158578,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3951130969,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3948890360,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3937325214,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3932918491,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3930137746,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3910070083,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3909510760,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3909458964,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3908064796,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3907961359,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3907911965,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3907891789,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3906699664,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3906666681,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3906115255,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3905797540,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3905412792,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3905373101,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3904824257,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3904228201,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3903925302,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3903867603,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3903024389,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3901906844,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3901527095,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3900517458,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3899930332,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3899374356,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3899339455,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3898745967,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3897568771,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3897384624,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3897361033,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3896862447,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3896837187,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3896559416,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894702925,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894684149,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894643015,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894377859,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894377291,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3894353919,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3893494801,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3893337915,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3893321124,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3892666311,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3892635735,RANKED_SOLO_5x5,europe,eun1
SILVER,III,EUN1_3891476882,RANKED_SOLO_5x5,europe,eun1
