tier,rank,match_id,queueType,region,sub_region
SILVER,II,EUN1_3901674289,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3901668134,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3901185364,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3897525846,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3893276289,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3893245087,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3892714217,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3888207109,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3882982340,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3882258466,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3881874842,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3881296783,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3880165991,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3880131640,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3877038832,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3873869001,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3873389414,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3964177344,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3963719570,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3963685136,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3963291310,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3963267290,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3962863649,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3962845362,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3962832176,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3962798744,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3962779732,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3959839424,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3959812544,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3959399204,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3958055685,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3958022705,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3958002477,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957649196,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957624914,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957608973,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957591351,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957249893,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3957222737,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956428065,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956399739,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956377909,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956356827,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956041286,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956022335,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3956008166,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3955981672,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3955106355,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3955083214,RANKED_SOLO_5x5,europe,eun1
SILVER,II,EUN1_3955059663,RANKED_SOLO_5x5,europe,eun1
