tier,rank,match_id,queueType,region,sub_region
SILVER,IV,EUN1_3938135150,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3913673272,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3913653108,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3910122248,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3909837205,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3849660282,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3835359234,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3835336077,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3834810770,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832772337,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832470136,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832459808,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832330277,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832226524,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3832144782,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3831352799,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3831202728,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3831184823,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3830966708,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3830846849,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3945918326,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3938017371,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3938006803,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3937600152,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3937582911,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927769921,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927467262,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927451237,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927445284,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927417052,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3927401333,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3924139902,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3923947900,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3922992348,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3922969941,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3892121940,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3892098379,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3892088771,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890809202,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890757922,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890724018,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890676329,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890647429,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890632326,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890503681,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3890500460,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3888891619,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3888798957,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3888792743,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,EUN1_3888767205,RANKED_SOLO_5x5,europe,eun1
