tier,rank,match_id,queueType,region,sub_region
SILVER,I,EUN1_3942955724,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3942940380,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3942925546,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3942901059,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3942889528,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3942869895,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940560274,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940510761,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940458491,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940433718,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940420561,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940389871,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940376138,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940358573,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940308539,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940302082,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940284108,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940269925,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940262498,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940251991,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940246913,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940090642,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940052018,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940032726,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3940020296,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3939995296,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3939976566,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3939956415,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937798953,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937801479,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937780121,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937763547,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937747640,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937735229,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937710429,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937697697,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937685056,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937679400,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937670395,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937655950,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937566036,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937551569,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937532844,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937516156,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937486361,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937458679,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937437461,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937406754,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937386590,RANKED_SOLO_5x5,europe,eun1
SILVER,I,EUN1_3937131553,RANKED_SOLO_5x5,europe,eun1
