tier,rank,puuid,queueType,region,sub_region
BRONZE,III,EccPIL1v62w-b6b0qY9bCkw-SSgK0BUVtuFEHmiWRoTkqN4YFBtlGN5VOf2M9y2NdvT90LUo8gAakA,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,E_ze7oU7oSz-ArXa7XznnNME7LYKLPnv8lleL2hC5LfcLrcug1aEHeHhRrg2b4oTP-gE3ME1QId-ng,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,yJId9Oe_4pzJJpvRoCkiRLiK1NFhX62g2FoGVRrNXsyLQmNqWfqwQi4OjNjcgLY_GzuIiVbZtxFNGg,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,pvJA5MUGK94vry79sgNPpqfTfkOckdC-N6QSUDNOwRXxeXpFoJjaWZ9EijVVHfKzq4UJd5kKi2q2Cw,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,-rz4LhKlzO95u0lR7dZe7SSdJIECdacaek8Gap3tkt1KXMlgA34AE2AoQF0jPXPQvkb3UpJeNnmWUg,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,cVRfF5NUWTCCFd-F162Xu5QFf0PT7qjdm5EYmQf4l9hbPrkPadITppm4KYx14L7MbmpAzEYQG7NtnA,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,ELpYAaR4tvNm8rwl2UcZpPZ1caT4lJ6Tfllefj_Q6dAVVbVarIZ3lpjF7_YYSfzps5I5Wizs0S-DRA,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,PiT0ZIk0sFLWKUNR_Si5CEQzn-U_rn-WXhpHLEB8BQVcotUfQYrlDokO38fS0jDTLHRF51GdfeNMqQ,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,-qxP4HUSalPtvFxEP0_WPyA10dNI9xv8pKsG3d7uKUUrTMWt0j4-sYMhMeuvyN5Dz8QzvAE542mJig,RANKED_SOLO_5x5,europe,eun1
BRONZE,III,HySwKZamFnwj1VOXPjfo1_LLv7ZHbNZYiGfRDuf818jGGGQ8vYpM3chtwW5TGy4pjhngl9fuM1kUDg,RANKED_SOLO_5x5,europe,eun1
