tier,rank,puuid,queueType,region,sub_region
BRONZE,II,WqoCU2I1KjitlLnUNxz6LknnSlzlNySg2OFQMiDfecBySx_TSPrKZl-Wp1ubGieasCNcyhvfd3VRnA,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,ev6GkcFWxosrujlhxwyNlUIimr5w1frnN0BHskyLMdj_uMeHICP5ogb-AEz0n3TojOwSRsa57JlCBg,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,8kWtT2i4yvS8rnkuAXHSXX-Skc82RIxVgM6b8ylhNDXnT8zPSIN6nO75AC83tRsJtL3w_rh324CO3Q,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,fwMnEBDTpCJPlj3JKWYcDXoztYX-6QUDzKlBlg18ym4Aa-ALQPRiJxzMJPiC_8dLH4GMB6v1kAUq5g,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,7QU6kwoccWcYHeCaXuIHsNIZKUGIrkoqY0wxyR1wa3U3ffLVJMPHy1X7r1b4M9RSslKfkxDwpxNHQA,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,rcHxyXqNot-WqZYs55kNBY3Zf9fEWvY7qB5Isrv3nIWb3kwN6LvfuZwcgN1QsFjjPkEPReUC0fhYow,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,2Y5v0DwJC-NNP2dDYEP2NxkCAcmWhgzITrLFtbOHuqxxUZOpOhNY0V6IfZBIwXOPn70pZcAw_vEtXA,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,wbDSNwXn82yxvp0aVho_SoLE4lEwIfAJOedgogUl0wIHs_BzzETCCJMAaGU3V4TuCgshsvzEeRcCSQ,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,9Rt0vRnlIlYaJ1uTlkXhUnnrWZMxd3ZCVaRJV94lQvlbNgP0DcIDkGa1xL5-t253wxMwEzg_GgwW1A,RANKED_SOLO_5x5,europe,eun1
BRONZE,II,PIM9RYAVe6c4nP5QeLuSSbUAvyt9xKlZhYgZosmAEyW4LKxJ6GlStcTrSFuBrB_VKeNZoex6XuIinw,RANKED_SOLO_5x5,europe,eun1
