tier,rank,puuid,queueType,region,sub_region
BRONZE,IV,15yCxaoYFDDM_T06H4E6TdqPU-UtSz1PMB9XiyQHBjJRNQ-N6ywAdqmmpv1XB5rgzm-VmF1Tq8eyOQ,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,kI9KW5d4XMIrqXq6gSn1vi1aUJiHtAs8kZhreeOMpo3ozI-Q8O-JfLS2_6xObvkOonwTvcSmYrhaqg,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,jhueTmgx8uAeTmW10gDfWlO2S4Kek49_ldrpx12pzOPvc2dhwva3DGFoleoQJw7J5384t0PtHNnTOQ,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,zOvjCNbWzNKTOBVPOmjyfnR-Dse3PYEYhb4Q_5dn8PqjaQ4mMOr0TnB7TtS7RqF9_oNDwXgBUWH9og,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,XrseFW3HCbBxKhthF4VnlVHvUY5JWG3KtxtIHb8Ufl8wvE_wLl_IHrqfQc0RRawbxQ9ya-GiDwUyTg,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,HaukPMdb0bmKrISm6cIvH4RYUXMs5H7dYEZtus3boQxE8ugjKBMkzLXK0S8WNZguixNqDT778h565g,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,s142hqLdaiq-ubXwA10UF1QhMRhu4YbLvdSqxSFL5znCNWUU05yX-MfChLgtjLva3V_T1_OmywGVAw,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,JtZTBVytK8F9dEO4DDoysbpjjKRrh59ZL9FeHAx-g9AZw6LG8_-z-wNAFgQb_4VDqgsE-lElEQoJJQ,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,SDFkNk2ChjdBA4aLfrvSNwxoxAAE0d8FMee9YtEEO9y-WsPwJhaD-aGGpma2rX-x_AO4tu427hmlsg,RANKED_SOLO_5x5,europe,eun1
BRONZE,IV,jucJYsrcRm8arBE_-tJjFwf1apJxaATx7qBgiSIf49zkwrPmHl5E_tzeE8kqEoYEP6BcZmeP_NoBHw,RANKED_SOLO_5x5,europe,eun1
