tier,rank,puuid,queueType,region,sub_region
BRONZE,I,30B0XafHTwZu2-6V3IH-wxLAJmHruuy4IuJNkze0TUZZbAI3cvOAc98z_-KO_08JomjPR6egkY1R8w,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,u4swS026nDkujCGzRQfeMH0aIwp3NK9PyEvPNUs81fWzcIPhihTrpQ8Wz9v4MuTVvvzso5vYlBYHlA,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,smBXcfzz9aKCzLcYG8fRDvB62lQx7m7WE9-3Hlw0x_i6_NDbhPHukZjvA2EP5iGzMTmIOciu_n5zDw,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,sEB5L_DSDZkDQyDF64f7HSNlo8vGgt4DHJJ6L5s79leq-Me-zsERCjLHL85Fv0BuQJ2tUxuRrnpTEA,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,oajh7Psua48ff2xzzHMVkWdydfywbicbHMYutGC3U5I6Z9538_S5XEJmI-PYaJXsSTigHFaQ1FMHQA,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,EffCccZ0NxieV-mhylqGwPpDlfC2LKxU3qOHR48ka44EN4QDTYUDQ-VpvHI6tJOj675sJUWCrwRokw,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,tljfrx_46s7jYTI5mL-l_zJZza8onQW78jBmml3_Mx4-6dHSHGupkgpPRlc_1ptAKnFwA8jzr9Wfpw,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,lxhJwKNhzNiOoVNxEqd01Ps15j7dhfFLkIdfX631jzf286YEmCHOR_TflRZ06WUz4sqPbf0RCWDh3w,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,pEiFhgz0BOA9-GRU2eBpH1bt353y8ToOwUzdUYBDdZQVepRUSeKys1dgCCgubu07IEjlybmgiwLIiw,RANKED_SOLO_5x5,europe,eun1
BRONZE,I,a21HUG2fm5fNaAzsnTOqu4AerFx9FWBKTlmRNb9qtprndUDypAXHIGQJO4sH1ebggv907M57uDergw,RANKED_SOLO_5x5,europe,eun1
