tier,rank,puuid,queueType,region,sub_region
CHALLENGER,I,GbaCpzcdYf_o_wq8mKclvvvWWO2P8DamlJbOSbWeLHIKIzJMNzxYdnG7tGk22K_JQ0YTXxBaMWUbzQ,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,dlXJYnkOwPwf_E4ZPCJoKOCNf9OjrmRsUl4isZq4ZEDBsB5lM3gOBRNoidn_G2VSaJXEYUtuCwsG8A,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,xg5UY3GLwcO-Ccl61Rfl_r6m7T3wNQcAuWYk7hEAJ3R_GrLakaitJEZaSpt4pLvZ8Wvc44h4CkCGHw,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,Z42-86-sjAP2sNK7cdecCcFiK7zojYS6gG6fd6dMNf5BP6-CL4hgTWBeS7plAprHaDAmnb6IHcpmVw,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,QE8sRyQW044Zait6UA914zZDF802LfitL6bOlFuFJdyF9jf6cYgBWNsUXTz0SYI9JAW6Tlp5eDIE3Q,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,Sn4wmFPQwE21ayssl6LaVAAxT6hF42Pak1nnS_lZX8FjXDaHpM71gnm8E3gnOg-kwsSdtH104lv8aA,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,vqevnAHrYcPm2H3X3tfb308vi3z6fMf_baOM7luNz8jtqlsgMEK_l3cSlAMLZQGZUZJp7V5uZ44TaA,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,mn-Gkouc6-IqUiE0e2DYngCABQdkC_F_7wOkOSZhZcGL7rXY73R10SMpdskphoR7CjxIZBOCK62yRw,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,E9FTv7_LGh8WcL8Yh1vzTCqjKDg6IU4_umbXJ61R3KIljTTVb6L_wonAIVg4BzpdH2cP8vvHagPm4Q,RANKED_SOLO_5x5,europe,eun1
CHALLENGER,I,Ootw28l6LZUfTiRt19DH-QRT5N_hDI2I26poo80EBXaY4bkFBJo3MbDm9qRyuw7GL4ZbrhvyP3LjkA,RANKED_SOLO_5x5,europe,eun1
