tier,rank,puuid,queueType,region,sub_region
DIAMOND,III,mSeyfIuVVybBaD4jc9oymELYhNjffN0_fiQe-VdBZOq_fh7A30IGmqZ6KorXbHrRFvi_Nab1Igq9Bw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,asHpHUmaIWvqQGVFckEYexEwPaCVJadI8CkjwlJlPijHnnbbWSqnsgO4poD4oGhvrlE0bUXRWKPH_w,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,kn1lvgx7OkVHFIuB490Y5ZcUv0f4RixIlp2c4L82PEPDd408z9nNvIUm9WlvCosJleVDIM5imPfEAg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,CWgulKBrEmcOoqMO1VVzS9Gf40qpKXzyT7eBNue_0igMoK4yHv27e7wB-mhjejE573AwuFrNw8GOgQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,rfmQV7iBHp6OFjPtdR4LIMiCViDqK8aZTBhz80tfXXKImSml_uivYaT1LaFdq30BHhRDNuvpIoj3rg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,oRmJQ4OGbv8tDuUiBFCMugNYZ3gV1hUME4P4au30Zn8aYaz8QiglbpFwvXSnpLXrLuWa8iMNYWGj6Q,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,zU1s7ndsJK5vZJdkhN8WPrB8SvFIvhssd5vNuikeAXd5sRqBUkd6lIbMZozNxFZw-2uX0JMGxaeeiA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,XlYIwoDuSOthG89SOydijbxwE3JK1CszgxHuc7K3OoQA9TldEiJtNIoTkwIDdfBV7r0zeMIXJ-EN7A,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,v4isEtlElQz40pMcf9TgQxyt8qSkzosT6hDXK15Ynws_k7-qAvcfXm5h8TajnUkbpbSlTGlWVNOgNQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,III,1JjkF7ElcF9DZxZhNOYq8YAzFONre7ykUIXleYB-dip62P0gmHkRfC2kctl3Yc5TpBe3dNcDsS6TMg,RANKED_SOLO_5x5,europe,eun1
