tier,rank,puuid,queueType,region,sub_region
DIAMOND,II,JEyzsVqLdNtFFsb_yJ3ts8Bie9cq1CJQ_5bUPnYoZ39HR-vK6H93cA1FlJ4ffcfHDx3SD8w9_5HCSQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,D5ebWsh7HX-IhLAKP_eMygvaPjTmIm4XTC2Dag8O3zOU7QSm5JeGdbCcF36-rd_jXZ80lRGMmBcq7A,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,IXGYd8ZbBHBoFoVxZKL0NH85ycyOS5XfqJlNHg4QVcKApPRTY8g5mYY8YhnFhKYEV6NdSKF8mBbkWw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,eSZTmh0_r6LyMSIhDG7gcqDLjjaIVyW5pKZgFQw3UA_8-_EjESIHeYU98oTV5dtLRJDq5ttsYugZpA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,8K8aPuNMJuvLi_gHOnjfWHWMWyT4qDIezP5UW3b65tXmOjEyLjw5_b8OntQ9oukeeAbDepCX-wevOQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,CD5HLE_M9ZhUXuHjJIydHAydN8-d4oygzAzaP4PxQGBdBhCOGPjy0vp90af9nbCeZ9oaw0qT23z-Dw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,3451fNbwoA1G0z14ymyTRv2JNfwVonCQ7E2j4vxTwL3FX91z6DKROjttMnznVa3Fyz-B_puCu0A8xw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,WlqXkf5lB1HS5Dbn6A1hd_iGl_Ab6li29pLGbYevqhvumnX1FHV91qM0vAv-KIDC8xjOt_2q1e5izA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,W-zIL1AVZ4yaJOcpqMttSSX3VMY-sKFDkBO-J7T89o0EuFQhygF9jeEbtiEFqmIajuFbe65tm5ZsCg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,II,QlPFef2CRETEwTSkQCoZxAi7cBKM_sbT54L9YS9EVCGYgRyGOhIdUmAIoiUfWCG99I0Dng7LKrcGsg,RANKED_SOLO_5x5,europe,eun1
