tier,rank,puuid,queueType,region,sub_region
DIAMOND,IV,MtbqfeMdnbBx01OPAQaDA3g9Nqif6eHxWr8EYl7WHUbo3NcTV4Uz8Nd0OKK2yq6_UHTeHieYWdYRZg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,o5oGJ3fbG31atRCrAL_XrOeWxuZ7lVvRiGWQH8c2wDlDfDz4rGFQ0elfYg-DKXBGvG6WVHNhc2wSSw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,48sN9CJSmnXOmj8Ly25oaiaIfg_ODYs6G8ugz8MX_tJG5rSn0LiUU72nzPAqjf-Y-AYFNYZi5mcjIg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,SxOFKg7v88jIF0QniasdqzQ1o_hwutxKsuSzYYJ8nFbwipWv6tu4sUwoo2NEw904kThGfvbONGodwQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,3lBIWG4OGeyxTo9rJoW5ZAVambbFmgTrT-_KvfBWoAY4nBOPAWzLNeVyZI8VgkptYcvSsNsj5WywPA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,KnrikznXkKk55wt5edIklYTFssRRNQ-fX5CDcZIv5d9vX2LDa4tzUtHkYaM7Pak3sH3HrXHnbwEFtg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,0da8Z2fbKNavssNqzpyfkbB-Su02C4SImStFhQogt_MwP_5rYFV4OF8U7YNu-iuGyEyFn8nTa0xgFg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,wV02ud0lf-WaeGqVmBUYqtax0RYZRghljMDTWe6Bs2bJmnjOq8Ch0J2OwvoK9xwOuyAiYYjbBPzf7g,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,DHsceT-X5faqjGWe5X1xW-pogYuOcHL47czglqxv-Gbfm0lGcMBmf8M3ddyO_Rww7vTYJeYpgcwWeg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,IV,PkRHoCYQyuuOWnFnl3Y2HH_nq-Y38P3afveyHmlkhlPw0IorldEANLZMx2LdtRVoYF59H8kfrHr94Q,RANKED_SOLO_5x5,europe,eun1
