tier,rank,puuid,queueType,region,sub_region
DIAMOND,I,yj2_9m-XfqesuZeatNmz_SVDjRa7SaiEB4P9XRcUNkMBK7lBrHdk202njRNa3oFoDjFNLtn4hpGUgA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,8C9D_-29enjM-PScDA_IDJYldezdhmVEpoZwD3Xrc8at9wzDOodEuEtm7gkzzD_QqDhF4tyQJDBkyw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,DzpbwfFwuwW3bGLl6tPR56S2Un8RRaS9vHy8pMTVRQ6FzA8st_Uw-rUOSK3iu_cgaOjEBpKY5bonAA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,2FLkYbsvaRfHxvqLJ2QGlfWmBjHlLsxT4Q-5JAXERyP5-yXcu8xdFf-kkOZC16jGBVAOaUUmzqNPPQ,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,7AW3b25syUswBP9YTz03KlR5gfmGAHmdr6kq5FO8ow3uYUARuAOFo85UMbXiLI5l2NGVmkyOTat1jA,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,WunJvspJrndGBcvaEMx6R6prkpus-56YCmVGH21nUn90Ze_xFhWysk0yF1nyawa8sDWdJq5WsfC9-w,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,lLbZpBRCJCQ3XLqpsGHfjZg7vZ9kJggn5VhuDgn5PywuGzSVe6j0UO61FvGhcpKFnrPIR_YztnvAfw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,c1K_jN65KmXUp4-pQIvFXu2XFlWN0R5eHMcmIo-Wb26P0qenq9q3Wp15zBwl7Ty71oN7iWkVeUlQFg,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,xCpV3bR9xeNUA_pZRI3po9-jVUT4F13Utj3lFlNo-_CZtSym0-sgg9BOzUen1N9Tw2FgquDon82Opw,RANKED_SOLO_5x5,europe,eun1
DIAMOND,I,y1j5naj57wk87qic24Bsc-CduFF2T-byT6TuVs4RX7xtdY4xX_2sPVca_wQpThAy7w4SZZGlp2P0eA,RANKED_SOLO_5x5,europe,eun1
