tier,rank,puuid,queueType,region,sub_region
EMERALD,III,S6OJjyu22KWRXBiRAwV6zplm_GTBZ71CyG--8rYN-cO3_Fl7dg1dVFdmgWfWVt9Kc6kY3ITwbu3_OA,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,xpWrtJnV0ER0wtCks9uw6bZza6-cEYux-zlJRlHeuRZdozuoYTxdROQBk8IYBWNGbukkG7BCPSalCg,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,qUsWDr_fpxGTS5h7vrHVO3zV807EIAyu6cWazeE2DvRNbYqC2rT70Vqbj5xcaGIAKSkppwGd6l4T9g,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,Fd5sMVb0ZpFtgUrlbBxEBnW4dSkJqAOchaBBy-y9DHzuWtekpgf8WAX1fx6T5v9Tyxj9j-Ti8mM9Zw,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,i3orMphpskwmPftkOnW2fsaQdjj_a7NJk4Mj8V1A8cAnYEhH4Qle91patVi6GPgVlaRjVWUinvQCzw,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,NnQbvPCBEQ_iGOU5Rm0kfsrPHPXyK42e3f603w_iIWRD6vX67Xbr3rcaMjmoexbHk0CQSknI0VxjPw,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,KQRN-7aRzLIYyt-8n2t5zL1GYREU1l88zxtP5sZcoIzl1HgeUVqHPncei1Ktk1PLJUGmfG3dv0PuRg,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,kc8x8C139Z-oKHn2kLfIRs6Q2nPS8Q2B9msFfSpzJLgV4TFK67pDxf1Dpgm47G9n1hB_uY6UvZZwRg,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,orSrOZkZdwHmARYmJ7yp3SfbsGyv8IBWZhMLatP2hWV5liNDDAH7Awld_FUVN9GA6lysleIgzTCy5w,RANKED_SOLO_5x5,europe,eun1
EMERALD,III,kaEzicneYPVPgnLRXH5GvbZ1xWqqT8ID7Ibq0OAL4bDgFNJYKDhsnaVVE4PEIfEHffcpYx10-3pW4Q,RANKED_SOLO_5x5,europe,eun1
