tier,rank,puuid,queueType,region,sub_region
EMERALD,II,z64d1FnWbkAxK2r5-wv5pJOK1SeoCg85-6C7gsQwJcjpUALnB5cboKur3TqK-fUsbJGn6ZwOt6wYGg,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,vpGxa14ARBoR5VlsnqIU3uVdRq8rU4eErJK3rBv-QVCd5ZLEDgl1bdWTov5hnsf9T2unVTc68SqB0A,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,F8DxgfMCxH6XCkj7N7gwQ3vWN3FyXSQTYBkz0MZfQIxUSTZBlyGN2VVMB7E6apvHRf8fTaRkzYHvEg,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,Da4qQrtuEaJReWL4wrS2o6QJa-p1g13_6V_H_PEZFItJJHGDWxr9q97GgM67gUBEPrrka-BTOCTcsw,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,zeEIe-t7mpxLQITQssLsID_knyyXDTiA6DpnadgI47pxUq9moj-qrDmZ_5B0AZ-TCuSlOrpQro-tGA,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,YZKxePvaoSsNZN5DJZHfu2DrKCO5Jl6s8XySn5iGsrYKs7Z0S5OYvppe9MLdV5CgGtzT8820V7rUgg,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,Cxcf1rHrj1dKzpsBdDlw-4ilkAAl20iG8wydxGRLlEVJsgRkIE9zDn4XMYYQKig_oRRduN78TzHudg,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,YL0lg4t1r7v6Xq19gNNdXaYRW3DYOq_FpmrSmG0ntCmTIKwcccSUE8GmjeMLdQy0HE688XHdWKUmMg,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,t1TgXjWpxhgmDVnrEPnEgRZiUC-3rdRFhtSktU-Eb2PL9jqFfSsgW09pzXadIM3kLs4EHkA-iavgEQ,RANKED_SOLO_5x5,europe,eun1
EMERALD,II,o3tcjQCRxkYdzaunECQBD8X_6ht_Pc6Kdlm2PBbIvbzGhdYUisXsAb2kfLEsEvE-ivbK7t2w6NLxTg,RANKED_SOLO_5x5,europe,eun1
