tier,rank,puuid,queueType,region,sub_region
EMERALD,IV,EefI9zUpTIW2NQ-t-xx5l_x9VvUHB-7jIkNBY94tWwDzPkDfH_bD0VGvHKWtOQrw0bmbbEaiMifntw,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,Dmi929xK66XNscXaEbZK8x5g4cFiTsR-5wyxhHb4i66O3oUG7BBIrygjAV-X4pCMq3yc5KR4Quq1_Q,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,d6u42ERUy3V-SCvcb7zmcWyySW-7GHV6fu62XjyHlXXu5ZxCweP2o7MtAWm7NsR54nLxuDlW8UnNPg,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,97LCrvXmYE4tf4X5ofOKgTHTrpw8BgvwBWRj4Myp5faa8zK0q3aUbxlJnwAs-D2FWNqa96rNz4SdQA,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,RXjBQ2v1oLYJCduzGL12EN9kbPhbeAkaJAOuk8aRgMy0psjmJhIAIKa0iVCGENqo4XexSFXD8ZQrhA,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,mwfqpSwzFMmwCa9-SJRzOVV0_49v5EYBjRlPtm-2ghkFFSDRYUyf7uahtd0scTLO1WUUTvnQJLruLg,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,1y65w8c-5odebXd_qc19aHY0E2ROzKVYFt4CS_WnELUn7-d3sBOyjtAstR3xnhISUm9jRPyd4enVqw,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,hqJAwSZZ4c1_3d3LRPZPrMZQNR9-Q-MBE6sneOloRbdHXFKUt6Qr75VgZzi41yO3GI_yuhe0zt53Lg,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,C2gJAb6P27JFF7YTRhQau6UBzUCvIUz6zcXyE7PDWsIjzbQXTVJ7n5YajXJ9LG7TFW3sgsGapGo2nQ,RANKED_SOLO_5x5,europe,eun1
EMERALD,IV,yezx6WFTchUE3Koc2c7GiuBB_VbFlpUNN-RrmSvVsSqRKNjdOUKZVL64Qb3ioHJ0T8npvOhsnDa8cg,RANKED_SOLO_5x5,europe,eun1
