tier,rank,puuid,queueType,region,sub_region
EMERALD,I,0tYUyp_lQ0PIf0UzCc4bYbT6xw6mL_CezaYH1vfJLlF03a3RCQxigJ-sYvEtBIYJ80WwA8xaMwdvDw,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,w6sQMjDwNvb0WSwr8Da-o5A8Tf0rvpHRmCBfFhNEq2dcIspz7cW3UZfa5Lt9qmJb16-gh6TnOIH0Tw,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,EK1xbuheUZtFxpbxwUmgSnf6j4daLOUtMXbgWmy-Q2PqpC_lZBcPNO-7GkzmfFqNqtESQ1FNVllWkQ,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,l0i346zVKcLDwRMaJOvkPqtsWKlRQTgPOoGtSKCYCm8Z-gmpqHREyasG4zquROP5cT_SW5eYT1LnWw,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,RVgQHMqAWC_rAUjQNtHogyMrB_v_rxk-CAkXwt8lHMIMf_o2sz6wBv8_xK9X5qYpCfiekpd8vKo_xQ,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,vWsFwELeP4y5xV2RQjLAgZdxiSHXZlWOp_RQCpYgIby7V1AwK1ynfx2tjU-vGuEn550kR0ih7o_IIA,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,5vHm82DfvQF3Uv88iyVE4fPPgYI6rb1W0d-NWBXkWE44i-NcmKLkWC8K2RgtWTllG761s95fQes-kw,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,BuWNcvjIsIFgCFbCCiQewWKxhUIzyIw6o3ewtVcMy7CYZ9jMakabIlcpwtCVj8ouTV4NifwPtnfdGQ,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,_PSXRM2iZnIeGLgUMMsCUkHFpQ9XhQEd2alMrVnQedaCmE8C1wkiEXmXFEZMP9ZN6qptfZmCIKgh2g,RANKED_SOLO_5x5,europe,eun1
EMERALD,I,R165xq_IEZKFTb3SlSDpKFUF7ru8Y3UgGSHKNqqnpQJKnLWVm03JDQ-jO3xHc7ql0YK0rgqaMKS2Qw,RANKED_SOLO_5x5,europe,eun1
