tier,rank,puuid,queueType,region,sub_region
GOLD,III,LgyP8CzNJ_3AUcAWDCJ3AfJe5IRSnhImyAsQvhhjVnIJibprBqLQqvFPDIes02qxxajyt6xG_3O94Q,RANKED_SOLO_5x5,europe,eun1
GOLD,III,2XEg_fTXgjmid7PeL_Fzxf8GKbRRLjTxrx9UkI8Oju6E36kVtonRwFgUsisI2dmmAJ5SwOaiPANDJQ,RANKED_SOLO_5x5,europe,eun1
GOLD,III,NbLwmgzMdvsHPkX5fKlK6fxAwZVJ0Armer_aSvXPDK3pWEmbEZfD3jGppX6jtWfKN9uCwwk3LOe1uA,RANKED_SOLO_5x5,europe,eun1
GOLD,III,wPt4_KwFoT1TE7OqWja9XTOSrEy4Fw-efFeUEaQp48lTm9f-EXrH0SSrlZtpJ4Urfu5dvEhP8PlquQ,RANKED_SOLO_5x5,europe,eun1
GOLD,III,RsqEUNL0Qk3di326FmUayFx37TvUne0rCg66IN_cHxwFjfdKrNUuLCqI8LyGd_shV_JXcWdOJeZ_Ew,RANKED_SOLO_5x5,europe,eun1
GOLD,III,z8eZyd6gFQ67MKIH42v4tjnLHu8W68JYoXCCtEw68Msy13EObTe91MixnMartznQX82FN6-XnZ-hyg,RANKED_SOLO_5x5,europe,eun1
GOLD,III,kI0g7hrQeUOm_RqEJPIV0WaNE6qMCIhQQiV4twwX1DOUTTtkvP0HrHMmtsJDpJmKTq3ZtbijpmfR3Q,RANKED_SOLO_5x5,europe,eun1
GOLD,III,b6IgHq_sUZvTF246KrJcKgo53rp3xtolhT44mO5WT2sLgMXe3ofdOqasJ0DRvTm0kxgqUSQs9fFdBw,RANKED_SOLO_5x5,europe,eun1
GOLD,III,dNZN-aO-uE6-w7TvDyGwcGgWlXjqaSQS5zouUpj5MBdh6vRJWfBUXZ3PLIGmmp-9HE6PpPyylNSTpA,RANKED_SOLO_5x5,europe,eun1
GOLD,III,FW3o5BuqHGOi78YMilSFlbUrcaeZRVHTnyooOBrU8xdtxJv69VP7PTloae1TzShp20_jvQq4iwrV3A,RANKED_SOLO_5x5,europe,eun1
