tier,rank,puuid,queueType,region,sub_region
GOLD,II,rz8k-0AxFNP-XGWuiGZwm7d7gaK8sSaBydn3GafDBgpTLyFGCbAOYp5IoVYUL9HHu1q5UR37CqUrBA,RANKED_SOLO_5x5,europe,eun1
GOLD,II,XU9QoPPEIGqYRoUeBvtYpXkFHUfE-1kdu9Z0plbvQMmUYZi3gBO5UbNMgIFmr4PFmzqTBW2Ki6wcxA,RANKED_SOLO_5x5,europe,eun1
GOLD,II,FNCgzEUlLWNu76csS2lOIUa2IK8HwnY3lsi9f5ULH0j7EwL-_ODrYoblyneUOGSr1o3cho2c4gcVPA,RANKED_SOLO_5x5,europe,eun1
GOLD,II,yGYN8IE6_AKww5kygqyeBjIpKsalp-9yPkCyAy5pFn3ifu2B9iGKRyPOZb-DzRtw9K5h3gH6oHig1g,RANKED_SOLO_5x5,europe,eun1
GOLD,II,hcH06Pq21UCm9fOYYe0AHomSL1ytNCJNHvhqFSC5hhSh3Y8CJWqqKn_kpndXJjqBcWC4qymNiOWf5Q,RANKED_SOLO_5x5,europe,eun1
GOLD,II,u3evn2bhkjw0TpXSHLnKufz5nzTjda1Eb2z1P0NtPJ2wNhqVfh1lq8Wbg33zhWa_r1BtIK-OlFS3tQ,RANKED_SOLO_5x5,europe,eun1
GOLD,II,C4Rl0OyxDAJ7FTeZOO6WrWC5-V59rXRNU0xZnzurIbJkoJtEPOphIJ8Cg2H-Tb7qxRsRaNTG7AdyBQ,RANKED_SOLO_5x5,europe,eun1
GOLD,II,yPMGw9vbOQzhroYSy8znEud9cHjaE8O24JzftK78zigUgeLdTX8v2WCVyEMUwJ7xvhkHau2X3bGsdg,RANKED_SOLO_5x5,europe,eun1
GOLD,II,lzIjcsqHDv7dqJZ_YlfHljJiegqlZfUVIGM2ynv0hFi5JGxbkMShbWbzH8mx-OfVvXjXEi_yR_yAgw,RANKED_SOLO_5x5,europe,eun1
GOLD,II,2gNIRX4UuRfFuqgGQWFhy94Nk37XWd4zMEUxt5M_TaqYdkcCxO1to_YJL2O3xy1P5aP2KvPEwkfeWQ,RANKED_SOLO_5x5,europe,eun1
