tier,rank,puuid,queueType,region,sub_region
GOLD,IV,imqPoDAoBzEHqZEqGtCne7BR4JQ7lJnRzDWeXeonZbwmxHSmyBR0vIUpKI2TVQiY23gJCarO5vfNJA,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,ZfhqOEf9n6UXw41NTEFcYUWaPu5mnj5FsfJKZQHe1QNEK7TYqlZdrPviraghXserO5y5jheCMQKHgQ,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,kLPq4i2y9ts6dFpFZXx90i_LdZjaYAUdmG2U0KVmGW5NWvSPHWl1AppY1t2u_Ejh5i1FihRSutipCA,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,FqKSG-41dXViGafHPMSD8L-0iUuVXsTbY545NFBfNrBjSJzcJK9AUiQWbyehQlqLHnJwtr1vRrOBiQ,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,-kDXNvGDp33nXQmh5gYa9NppJ3JxBL_HnlnqYYum-9W9wbF9vDog-u-tLkBCC9kT_C9Ou9yyJtsrfw,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,iT9V5hgC2Q7tsHNf9EXVyGdlpEuiI43a94jn8I5Bwokt-wvqTh9n-8jFZtrE3IKoBEe6ISslGi-gNg,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,ZvOChviWifylGXfgl1U1nalxBVBQeJdcuAuktqFz01HCWW4WWqgj75JQm9Yu1ki1XTRn0LUMGylxag,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,AV_rTwxpdq4E7q6WCBavaiIlw2UFZuNOHr3txmH2MMRUxL__uCu6EcAPT9PmzYbPjpKI-KRMq_arMg,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,e3k9k2X9EoemCG9WlY45tPn1leCsUepR5aqiM-peejlQYcIX1YlqkSZlsm6Ljp9CpdOLura6kNaswA,RANKED_SOLO_5x5,europe,eun1
GOLD,IV,Zo_-k4FMcKNsZjE5PW34zq5hHzi2YWFroDGJ1PdxAGoK5pAsAbk1tDKbQiEfFcUCyyKbYVikso4gfQ,RANKED_SOLO_5x5,europe,eun1
