tier,rank,puuid,queueType,region,sub_region
GOLD,I,BD5V7UdISb6r0aOHUBe9MENDR_2_Ou8f_UYliB8TPp8XPgaeUL4tAlYyeJIdw0d46av6QBLCzFuccA,RANKED_SOLO_5x5,europe,eun1
GOLD,I,mQn88l4T7OhYzdeWUerJ4gS90Z7AICeGlca8k2yuZW5UotPSB99-2fBfIhS_JUYqrQaEpL-fuPEx6g,RANKED_SOLO_5x5,europe,eun1
GOLD,I,BLkZ7vqGl2uqU7AcfZcSqVFz4gvFgmdxOIW7fhV_qq5ofaxJ_qj0MWq02Ua1IQJGQFID8qSMLu7YtA,RANKED_SOLO_5x5,europe,eun1
GOLD,I,GdFmjBSthCxCqMhPLYvgvaSkfgUpwOgXxFBZq9PzLP0nz4JkYl_4j7jzOGAmx0eZcTufcuNJF1La2A,RANKED_SOLO_5x5,europe,eun1
GOLD,I,jfuIUi2XagqRKWy1te712NE2H72ROWlgJMtm1UNKUHNikSKEukv0MfnErxH2QPY6bai16gOO4013Sw,RANKED_SOLO_5x5,europe,eun1
GOLD,I,92wCFGabxRJBdzx8XY9RnIfploxXkQVcCpTJaAh4dATUr6Nw17HjZYvxqFZ2nYDF_ipQ2aUpNzsltw,RANKED_SOLO_5x5,europe,eun1
GOLD,I,rlKNzpuuXVsyI2o-vXWjd9F9-bAA-mGKPx8hP3IOyfTVPYEqukVNzpbqIkKzaD-5JW0zjX1fGoTFjw,RANKED_SOLO_5x5,europe,eun1
GOLD,I,dKY9LfDx-SQlUyLzRVt97Bw163coPWzSdehtlZAW5AUYQHDSzQITXqdyurpPXtsVvPQpQvSwdodfng,RANKED_SOLO_5x5,europe,eun1
GOLD,I,NVp7qi4JevH4q5siGo-Yt_b2T5-03cY4bWrnlDt-fowfAK-UsjVpOEY6EXYkwAl69ejpxPbPImZVHw,RANKED_SOLO_5x5,europe,eun1
GOLD,I,mB0qnTUu612Un_8G9AwCVjEH9Q6UZtUHfYmvPJ9FD7eVIAJ56D22MIOy6ftxHcKkwCj0dX0cWAfLNg,RANKED_SOLO_5x5,europe,eun1
