tier,rank,puuid,queueType,region,sub_region
GRANDMASTER,I,hfMP5_VTMFoT1hzMv2U_yBDeFOxz0BTtI4EUDhMbUu54WI67gItXOWsf79vt3B6HHvPDxgA3wdWONQ,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,Xj5U_Tm60GJS9ax08kGBZz-KGtDNPPcchMzJaX_vTezVJaSeRpSdJcUAR8kpglfLBaE5I7H4g6AKrg,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,QCndVqgY7pPqVYmKf5P8uIUwCcaDO9TvuomIYUgIyFVUKGR8JCnSN0eMMgIFymdk65NszAeBcbdfKA,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,7PEUmoX_811GTdxxPRLYNMpWBQ5Y1qoRoJ2E5uTtGEFd6h6ikQluNLY-b21ISWeIRkbKyFPQAN9o3w,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,emtbJxxsIHcqYLBTrGGk1dbWGd5ZbGlny9u7U1ubzk7aFlxI4oOMW_sTPEOsc6hixQ-v6yRVNRA3rw,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,edFADK8xR2y5eSEWJLd35-jbNPjc7nWAkjp2__LI8zEWAoR2KtwEvhWXQr0OMTyD7KoIGYGPpmlQgA,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,MCPoZRRhqRHHuOYroFNJMx0x2UmdwbWC8Ejm5BRQwsMsG5eHDYmzVg_c9ihbmASBKLH08bDaTwBWnQ,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,BJ5EWriK7KwCfKKlIALfmgXq0u6WOgRlcjO3CzuW-m3-ygyRhrcqBCFA4yo1_EqCRoMfrsjyug4FNg,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,UbmwWmwnwebBirZss0YeaNjK_A0_ksl7ftpFpHt-UYsgvK5eDIZZVScp-X5YJrzW87WfqKTdiAFFQw,RANKED_SOLO_5x5,europe,eun1
GRANDMASTER,I,QLgDY3rYaykaeXn6mvRXpJs6UWOjyiX_PDDO6aksF7XHF5DBLuWGTa94-9fu4N-U-pVy26JXe5IUrg,RANKED_SOLO_5x5,europe,eun1
