tier,rank,puuid,queueType,region,sub_region
IRON,III,QnREgV5FstvSS76-69HhxtGoSnvzPx6zrP7uGHjKMOS5CSQo26AtoaQ-qFYQvwAepOnYAU-03RtV1Q,RANKED_SOLO_5x5,europe,eun1
IRON,III,eZ_cYR_T27GY1TerY8rRoVDE97BkoSy4DNnLQ2S2hRul6fZYWFXqiCgzVNKQ7KEy0AMOqZHqBhxZEw,RANKED_SOLO_5x5,europe,eun1
IRON,III,5mmmKVnvvUgI_HxeRBtkiMDNKOY4MkYxhYRQzk60X_K1ITYxBG1kRnvsoyH--VokSiaktw4_t0mo9g,RANKED_SOLO_5x5,europe,eun1
IRON,III,-Ar0-RgyY31GrK7m2aqvwUk77aVCiqS10njO-jseA2-IHMAnE9jH9Gvdl62SX1Q1LaDanIkvYL7gew,RANKED_SOLO_5x5,europe,eun1
IRON,III,mXYeo4AiKHEwRQVA_JsXAHj41aR1DV8jPyCt3BJt5EdZG2zeBp8hFxjvLcX-R0dTeyHeVXEUXKQb-w,RANKED_SOLO_5x5,europe,eun1
IRON,III,h10uojS1LeH6QlumetSTcF9xtLqOlWHsTcfKq2Faa_2kVWHiQNAJU8rBiPHmEKtxlwaqHIoD7LfpOg,RANKED_SOLO_5x5,europe,eun1
IRON,III,ZEcigOzkDRHdBocTaPfv-PkCs6yygxk5XSl-3Ie6MJ7tNQmARFNZwzs_nYDRkia0cRDksnWKNxF8SA,RANKED_SOLO_5x5,europe,eun1
IRON,III,rGdZOMAipber5nVu8i_UXf1Fq3qC7vid5qTikBIdecSOwRdC1wY8cBZBHiE2WFim6wQCwTCJoEwY5g,RANKED_SOLO_5x5,europe,eun1
IRON,III,92A65a4YOESPyBX8kANYygxXd8kaRA6HfTRT5ayBrB8txL3C6GVjiJhDaZboUH7PwROjkmAWG0o5CA,RANKED_SOLO_5x5,europe,eun1
IRON,III,Xim9thRYGV5wpy1XQFMVGrFdWVk_jMrFRMGkudRNmdcWIQSsr_QtQR3tb_3krlbor2wFOoLMUpRuMA,RANKED_SOLO_5x5,europe,eun1
