tier,rank,puuid,queueType,region,sub_region
IRON,II,tgITqlKLZjruskMwGN4WnATK6tCUBfvDWEs6IvRh1jI4aTqcy9PyjU76f-wwaYvwejTwJL42gOb6Tw,RANKED_SOLO_5x5,europe,eun1
IRON,II,PFlk8K7oYHuiH3CsnoLhC7FZMM3ImLJTWINeiSIIYmwfLAnpdLno8dONG0vz96jdn2Jup-dzdrB_xQ,RANKED_SOLO_5x5,europe,eun1
IRON,II,9fc6rNhcTOFKuQuZDEqLhNmlqFL7tWrwGzhxMRMnqEgz8WQRd-Ax5wXFDwWNVA2Qds7ztFxwYhBwnA,RANKED_SOLO_5x5,europe,eun1
IRON,II,BNknH_FdauqpZqGigGnnpqkP0nYdgx66DDqjD40bBRX9z6pJzjWEzPPatu5Ml4N4t7wM3shaueXsTQ,RANKED_SOLO_5x5,europe,eun1
IRON,II,jy2fybErhb-sVnXKkZHZj1epGmK2XoJmoMEtS2X1-GDprz31TjxTN2Wc4VVnUDzsWpRs8PvFV0BoXg,RANKED_SOLO_5x5,europe,eun1
IRON,II,ltO5rDrChbp9H22IQS9j7dG-okchBTli8xKhWDrAPmp4OWvhmeNDMn5N5r3GdNf8oKCK03VXUk1mcw,RANKED_SOLO_5x5,europe,eun1
IRON,II,RQ8I3nxLnhrumP8AwyZ9BbWe7Dema9TWLbpWYQqsa-WgkSN7MEi_ldPdTEVU9_5HJMjFEW_peTF2Yw,RANKED_SOLO_5x5,europe,eun1
IRON,II,K8G98hBjFYAzxpvBo-1daJ1DDf2FIWAR8jf5mafkZxTuplUkSTvvDNaAPjbcxAywY0o56TB0jgrSVg,RANKED_SOLO_5x5,europe,eun1
IRON,II,9fLmSi1bFhneZitJsZdpZ20s_7_wie_OOAVODAMtfYSM0wzGEKdSsUE7i1TiSDOFMOWaMVjvJyyx9g,RANKED_SOLO_5x5,europe,eun1
IRON,II,v1H681nKqcZQs08UTI3GPNjN_mtpkAxksAYR4bjiBRTgy7T5IsEp-9GaUuNpKZDHnR0dOn_KOHP7dA,RANKED_SOLO_5x5,europe,eun1
