tier,rank,puuid,queueType,region,sub_region
IRON,IV,3ka_ecnvdNgEfcxxiBUUz_H6OZmZ21r6a7irE0D7M95xHBzNHW-kJ7DW60Uufk0kfzrPQcz1u1fh_A,RANKED_SOLO_5x5,europe,eun1
IRON,IV,ZceuHs2ELMB76VCEeGz_zpKWjuw0B3wA_MHaJCej2InmQC3PiNPlBJIYMReODGbvcthIwQZJNSIP5g,RANKED_SOLO_5x5,europe,eun1
IRON,IV,hjPJhp3W5Fg9QcOICPtg0goOatJwDGMgW9CExu6JkcRX3Rc84Sc8LrhXNgYn_iPCfTCTZ50_WGXMMw,RANKED_SOLO_5x5,europe,eun1
IRON,IV,qDg4lyD9a-eqgMJ5TfkQDwxkylZ2PoMukrj2WNXUCHGOXTctxCu9r3BlktQ0ple1iDMIRpW8RnsveQ,RANKED_SOLO_5x5,europe,eun1
IRON,IV,OxU3AAuXniDsoDv2q7SAAvU8l7PT3HMQdaq9peWHg2opGvvhG8JTzWHu9DpiwAyaN_gwhA6u4VAt3Q,RANKED_SOLO_5x5,europe,eun1
IRON,IV,r-YAYTgprUeh8NcaHGl5bbmRQvZQwG7_Tmj37kpAdN7qLQq5MhenI8qSB7aCfKKE3EdlO9YCCLy65Q,RANKED_SOLO_5x5,europe,eun1
IRON,IV,_nwGQGivYlB8W3h-c5oMNvCU0oXULgsNU0iBOJDhFLsLB4l7HVhl5PBR5Vbw6IPzQlgNuZIkJ_XdsQ,RANKED_SOLO_5x5,europe,eun1
IRON,IV,kZOqomMP1-YI9ko8zboeUG_j7G6HeDifYicnjQazeuyVEzNg3jY5otv-vAKLI1teu9WkaVdvdGnZmA,RANKED_SOLO_5x5,europe,eun1
IRON,IV,JxmFd6IVzlIlgCIXq1moHgS-EiVj8siT9LJHITiDUZbd-Z13X7ApURP4OkVTKdlwzG4jmEFU-D7WFQ,RANKED_SOLO_5x5,europe,eun1
IRON,IV,hSmEK_P31wcVgCtVH3_aRtpCqv1OUMwAgchcvgVBOGKh8wdaiTDyhBTmxFwgL-QQ2_ZEEtSaStoHKA,RANKED_SOLO_5x5,europe,eun1
