tier,rank,puuid,queueType,region,sub_region
IRON,I,z9ujdJ-YyyJq9oZVWikBeYvsQjHFjllJJ_9FEFQoBGUdejHcmpgOhdpEZmGyIrdQ9o78tGTW1Qs3bA,RANKED_SOLO_5x5,europe,eun1
IRON,I,hOJPjKWrmxs_zIPrVhMZjJvtAGMfhxhS69AdKtf49Q7_6cHvIPkjXQMCa_SlqJItDKPsfDeld_vP_w,RANKED_SOLO_5x5,europe,eun1
IRON,I,gk9npKHOTcK8Ck_oQFhb993o7ZUjjfgLKquAuVNG9BoD_Zfi6A4VoeaV892jaUNKN7HI1XCWoaQjpg,RANKED_SOLO_5x5,europe,eun1
IRON,I,FEJ_hQ9GYSH6JokgypBvN1-BBfvVk8bFVXJr2M_B_-6JKUTvRL3nOzzn9Eb1MM2kdHSD0Q7HbJ601g,RANKED_SOLO_5x5,europe,eun1
IRON,I,iE4avgZc46foAktA6HrWjk1KAaKyk3aLmjfppGP_KwisDF2BxKR2i83shz-Zj2zkF9LPlTO4KG9Fmw,RANKED_SOLO_5x5,europe,eun1
IRON,I,KQrOPtrXgBD3nSRdE8jOFuzfHsPPLXTxuUWPFnjgB5y3vlBcWlQA9rszhGYXLmx8GCMTgVw67kFTuA,RANKED_SOLO_5x5,europe,eun1
IRON,I,KiQ6Msg9IHN0MAhY48XLCZZYeslSOxKc7gUpVe3Y3kZAwPrZp6A7bMlLCU_r0ZGY8HlU9rNrOZ-pMg,RANKED_SOLO_5x5,europe,eun1
IRON,I,3DbwljdZjJjhMHknKy_lfwkrzHTIunLsV1KJ5iKe0IvXJH3Fc5ghc4zubq9OTwLx7DxiBK71a8DD9w,RANKED_SOLO_5x5,europe,eun1
IRON,I,_TqPXMtIvQF1Z80lYex20rNLa5sNb-tgOmFC3rOOhq5NHPXwJxUgJi3Js21f89QNTnk49XjftXLraw,RANKED_SOLO_5x5,europe,eun1
IRON,I,MZOKULDIODIcrpXJhdia0EbHa39xYz3LiLKb-jj8zi0GayFACU9-EP7Nxf5I-saHUY2NNAnzCJlIKg,RANKED_SOLO_5x5,europe,eun1
