tier,rank,puuid,queueType,region,sub_region
MASTER,I,D5V-DaUKQcOQh7eBDdLsqkc4Ad6h6FaR-UhnvUaKyAK63hzp5I4Olt-WblNwkl40WDrHfxtXosjrZg,RANKED_SOLO_5x5,europe,eun1
MASTER,I,q9QBnXiTYLbofiUXh9BSvXvFtmdmC0XA7X6FPrTXQDU9Aua8f6ozO1NMpGxIFlaCHR05luhVmRMbfA,RANKED_SOLO_5x5,europe,eun1
MASTER,I,vgB8bmcdz4UU5_96hJqcIT642lIiYFZ261XcPG3tbWMw4gcvDwQ3ZDgZoEMevPlyoWHte6qVIJVeXg,RANKED_SOLO_5x5,europe,eun1
MASTER,I,GzkADSgLc7eBcbtFqJbcGxCzrLqYns6XpUPZcCORxAEpslNXM4WNf-SvCXk35vvRWw9dPcVzPhPxkQ,RANKED_SOLO_5x5,europe,eun1
MASTER,I,jl-esH8R_F_fe4HUJWp6SmURgGRVlWYqwrOowQflf0estiDMcwcgm3CXq23uLCu9DF2R-8vGoGfzIw,RANKED_SOLO_5x5,europe,eun1
MASTER,I,IYjs2gJta92vjLQMnypXKdfJwktEz7G44XXHij5S65qWXx6GevzvFgJ0_EzU6kkqJ3h766k4k3Pnvw,RANKED_SOLO_5x5,europe,eun1
MASTER,I,MJRzhZLeV1Ij3Reqk6gTyyNJuaVP7IgVU8wZIv9FZ7Eexum1w5PYZzPIiThc3A9xjeKBNw7tyu-4WQ,RANKED_SOLO_5x5,europe,eun1
MASTER,I,ee6HHfQqtDiooKF8jUu9ZVgkm-3AGTesP-af5Y1LtDKrnUR3AIxSxgmWux15b-H1cFlbmgfwlCiSNg,RANKED_SOLO_5x5,europe,eun1
MASTER,I,SwYTTaEzOpZt4rm0Ea-LLgTX5ftU2nqkIcmnWXAXKPwOp1fOrDTk2HsIksH5umVplwchxSyiDjWKow,RANKED_SOLO_5x5,europe,eun1
MASTER,I,sSQnlIl3wxfHXzv4tVPBrpdVW1Uhl-XZOrvCHb3Q6uKu4NNJvbbcTT3bGRhnTdjl8qNaDeUh_SaO9w,RANKED_SOLO_5x5,europe,eun1
