tier,rank,puuid,queueType,region,sub_region,division
IRON,I,z9ujdJ-YyyJq9oZVWikBeYvsQjHFjllJJ_9FEFQoBGUdejHcmpgOhdpEZmGyIrdQ9o78tGTW1Qs3bA,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,hOJPjKWrmxs_zIPrVhMZjJvtAGMfhxhS69AdKtf49Q7_6cHvIPkjXQMCa_SlqJItDKPsfDeld_vP_w,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,gk9npKHOTcK8Ck_oQFhb993o7ZUjjfgLKquAuVNG9BoD_Zfi6A4VoeaV892jaUNKN7HI1XCWoaQjpg,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,FEJ_hQ9GYSH6JokgypBvN1-BBfvVk8bFVXJr2M_B_-6JKUTvRL3nOzzn9Eb1MM2kdHSD0Q7HbJ601g,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,iE4avgZc46foAktA6HrWjk1KAaKyk3aLmjfppGP_KwisDF2BxKR2i83shz-Zj2zkF9LPlTO4KG9Fmw,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,KQrOPtrXgBD3nSRdE8jOFuzfHsPPLXTxuUWPFnjgB5y3vlBcWlQA9rszhGYXLmx8GCMTgVw67kFTuA,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,KiQ6Msg9IHN0MAhY48XLCZZYeslSOxKc7gUpVe3Y3kZAwPrZp6A7bMlLCU_r0ZGY8HlU9rNrOZ-pMg,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,3DbwljdZjJjhMHknKy_lfwkrzHTIunLsV1KJ5iKe0IvXJH3Fc5ghc4zubq9OTwLx7DxiBK71a8DD9w,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,_TqPXMtIvQF1Z80lYex20rNLa5sNb-tgOmFC3rOOhq5NHPXwJxUgJi3Js21f89QNTnk49XjftXLraw,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,I,MZOKULDIODIcrpXJhdia0EbHa39xYz3LiLKb-jj8zi0GayFACU9-EP7Nxf5I-saHUY2NNAnzCJlIKg,RANKED_SOLO_5x5,europe,eun1,IRON_I
IRON,II,tgITqlKLZjruskMwGN4WnATK6tCUBfvDWEs6IvRh1jI4aTqcy9PyjU76f-wwaYvwejTwJL42gOb6Tw,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,PFlk8K7oYHuiH3CsnoLhC7FZMM3ImLJTWINeiSIIYmwfLAnpdLno8dONG0vz96jdn2Jup-dzdrB_xQ,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,9fc6rNhcTOFKuQuZDEqLhNmlqFL7tWrwGzhxMRMnqEgz8WQRd-Ax5wXFDwWNVA2Qds7ztFxwYhBwnA,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,BNknH_FdauqpZqGigGnnpqkP0nYdgx66DDqjD40bBRX9z6pJzjWEzPPatu5Ml4N4t7wM3shaueXsTQ,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,jy2fybErhb-sVnXKkZHZj1epGmK2XoJmoMEtS2X1-GDprz31TjxTN2Wc4VVnUDzsWpRs8PvFV0BoXg,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,ltO5rDrChbp9H22IQS9j7dG-okchBTli8xKhWDrAPmp4OWvhmeNDMn5N5r3GdNf8oKCK03VXUk1mcw,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,RQ8I3nxLnhrumP8AwyZ9BbWe7Dema9TWLbpWYQqsa-WgkSN7MEi_ldPdTEVU9_5HJMjFEW_peTF2Yw,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,K8G98hBjFYAzxpvBo-1daJ1DDf2FIWAR8jf5mafkZxTuplUkSTvvDNaAPjbcxAywY0o56TB0jgrSVg,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,9fLmSi1bFhneZitJsZdpZ20s_7_wie_OOAVODAMtfYSM0wzGEKdSsUE7i1TiSDOFMOWaMVjvJyyx9g,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,II,v1H681nKqcZQs08UTI3GPNjN_mtpkAxksAYR4bjiBRTgy7T5IsEp-9GaUuNpKZDHnR0dOn_KOHP7dA,RANKED_SOLO_5x5,europe,eun1,IRON_II
IRON,III,QnREgV5FstvSS76-69HhxtGoSnvzPx6zrP7uGHjKMOS5CSQo26AtoaQ-qFYQvwAepOnYAU-03RtV1Q,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,eZ_cYR_T27GY1TerY8rRoVDE97BkoSy4DNnLQ2S2hRul6fZYWFXqiCgzVNKQ7KEy0AMOqZHqBhxZEw,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,5mmmKVnvvUgI_HxeRBtkiMDNKOY4MkYxhYRQzk60X_K1ITYxBG1kRnvsoyH--VokSiaktw4_t0mo9g,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,-Ar0-RgyY31GrK7m2aqvwUk77aVCiqS10njO-jseA2-IHMAnE9jH9Gvdl62SX1Q1LaDanIkvYL7gew,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,mXYeo4AiKHEwRQVA_JsXAHj41aR1DV8jPyCt3BJt5EdZG2zeBp8hFxjvLcX-R0dTeyHeVXEUXKQb-w,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,h10uojS1LeH6QlumetSTcF9xtLqOlWHsTcfKq2Faa_2kVWHiQNAJU8rBiPHmEKtxlwaqHIoD7LfpOg,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,ZEcigOzkDRHdBocTaPfv-PkCs6yygxk5XSl-3Ie6MJ7tNQmARFNZwzs_nYDRkia0cRDksnWKNxF8SA,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,rGdZOMAipber5nVu8i_UXf1Fq3qC7vid5qTikBIdecSOwRdC1wY8cBZBHiE2WFim6wQCwTCJoEwY5g,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,92A65a4YOESPyBX8kANYygxXd8kaRA6HfTRT5ayBrB8txL3C6GVjiJhDaZboUH7PwROjkmAWG0o5CA,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,III,Xim9thRYGV5wpy1XQFMVGrFdWVk_jMrFRMGkudRNmdcWIQSsr_QtQR3tb_3krlbor2wFOoLMUpRuMA,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,IV,3ka_ecnvdNgEfcxxiBUUz_H6OZmZ21r6a7irE0D7M95xHBzNHW-kJ7DW60Uufk0kfzrPQcz1u1fh_A,RANKED_SOLO_5x5,europe,eun1,IRON_IV
