tier,rank,puuid,queueType,region,sub_region
PLATINUM,III,Y2gWXifnHTrGnn0-Ik_JCQkzvDXiM5pw6F1bQ1AWcV6v6znruR0wgV2z8VqWB1QwhEau8Azsw-eoig,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,Ue88N1rreM1l8nF7uWCyVWNlW_ItEbm0slU0iUR3OPeV7pQu4yhsobX8sUIp0vLyVujZlPcVxiyhlA,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,12I-JXk8wGarLa0icAm7K4BmhDgI2nRmK0awqn7nvTleh1nTNXtbM-dsZf-je_jE8beums-HasRwig,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,_gxnN58g8FFs5ZYamj_pN_udsB2zJztCwu_3GzyjPBucFpdCox8ADqpzs47WgWA7jdNe_RjySRuspw,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,ktY41Q4UTdiv7ZhivIBG-UlwyIUVBRKzoonGQuaJ3GzW2h9mW3gNG6Ooo9BRR5VaAf6tWZNIAhvZ4w,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,2MHPud9CobWwrgCYPw4w10dJ58U8haySUY-aKwDxZDCXo28aHMMyT25ferU4lZs8mT6DQksQEKK3wA,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,cEf4cq1R1o8ehLM_OQWTllI01j0CKS2X9P4NHhX0vSsvXkinnJd1bxRUdryTcFzJuLsfMvoq9DOtVg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,q-hpo4n1DBXQArWOalNUPvtnRgyJNzYVA8BcejFJvtgP4X7pTCrVnKtnSDBkhsgcSnuxUf2PonpJMg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,b70Xtd_KSQaOazt-_vYJKMkSJj9-RiNxLgkQvcSiuha2UF725rmjJ1wwg3XIQiTazUSy3Xrc4a7pVQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,III,qvZwWhZGb92Q3Ln1-syNA7nIT7P3Ud0XvafkKYpYRmhVaNo7dgb3i6PlWW5CLj-Nm0N5milPiuRATA,RANKED_SOLO_5x5,europe,eun1
