tier,rank,puuid,queueType,region,sub_region
PLATINUM,II,Wlvagu7BfzGMsz2zMUTTDunHMJNTZ87vlqqnPHk82CoC4xAjuKIPUyqIS23c5Xr4PEn7P7hyAFpGDg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,tMB6Npa08FJzm20_erCEqAHRSJbmOdLeyt5H5BaypVe7fbePsymwJYJSCaIe9ueFYYB0eZ2nG4rpeg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,aG7i4tODr9rsjjUbECRt1tD6RdjwNDeQqsKNsduNOVuxhbx37rrDP0OQJVFU8BW-WtkFyajZ1zlwrg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,oRABJo5TBAlM2qhIhcHzuECgkUuEfzUuBh5CV7ZdlSSn3T0S3qJhtGFs1Nc9QPj44v26gbb2xBWS9w,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,LExa_9SCft-aBD-rZdF_CZ2bRdh4gIQEfcK0CleYHP6WLxI3A_29ULLpuuAH_NFLnV0tcLljoiocig,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,3FN3UPEX9jhS4BTlQ3GIDgIoCf7TAOC_nmyFJ5jOi1CMYO1Kz9dQh87rmkPdmWIvwMOwEveXtLC7Aw,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,wtPYBVHkKprvMAce4DyUTDtNrRRKkVwyH50N-sDTRtjUH7RVOU_cj2szJGQGgoB7u-U1vE5deQNumw,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,AcOeSvHPWWt9x1wo-74Y5buFiSmSe1OWuwD1eo7jIbShMyPHHxB0xkgMxLUUcfZPcOQH0xz2rYh3WA,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,hH9BEoE-LmbkxMX2dr8l3Jocd8-ZoaX8Dj1oIQM6AtKwGsYa1umDo1J72LDACUwMjQH5MTRhxWi-Lg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,II,ftNA6RAays-DjF21L0zt-0cdAX9-oMS0JY38VTKRDuwaM-NqcaPlYRaNDCUegE_MkVJI6v7C39_gug,RANKED_SOLO_5x5,europe,eun1
