tier,rank,puuid,queueType,region,sub_region
PLATINUM,IV,7xEth3mKy4gCv0cRC_favrGEIGLI6Xm1wxg9rB9huW4o7YXwzGnEXArBv7d3JHfYXV0PGc1_fe0QsQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,mzE8cL7ZZdB04UTmpG8QyphjmTPn99S27xld-90NC_vRdMrfNKdy30rlIEMFvMBShVXwVJal8ag13Q,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,52X0v_drLpEgNgP9lVAsoLbidUlbuv4tnLiUdzZKOBva13AoowzzrOfr6eVRcTife8CUyHGAsFmPKg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,rGOJ5u-Ud1CvfSsCPGmxstO344DjOHHq-QHNTd-Hc6IipnRdI14MVKwfaFVuo9wpVCr7Dot0WrtjBA,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,YCA50Xjo3eUl_Zn2U4Pux4Y8sm5nbvozFWFYBxB1b0FktEKwV1D8oxmU94vuzdb9evL_8TvHZDTC-g,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,P6cPzAKPyZ9k8TLRxTvQWrt9q4SG9aBdjro6cBU-_i_m7W8XoyGyzzI1-fpKBCviKz4f3dDTtPFtNg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,O7g7L20ACF6dWN-Ys3FwNedUFqxyqvcBPL8MLSAUuSHEvQJeQpSkMAYIYougxqwRLqpfrJeajeUCpQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,mzx5tnMIoiLTg6XpFhVZYDRFyak1-xdf9hwGsZ5qPl9s15jG6Rp8Jkm3AKkbJoqV-qj-oFGggQYDIw,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,P4XN44-A50EGpcj0lIqzzOFkzJOI6nXYHxjCzoQgUIFT2V1DuBq4pIbAoWDmghru7fWo6Ct-HlpWXQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,IV,sKeyQAyXR579RASAi2oQhZWbrR-SIu2uSGQQ7UVx6dcH7KV0bJv9kboVfWuBE0tNY0mOc4HG4GBa_A,RANKED_SOLO_5x5,europe,eun1
