tier,rank,puuid,queueType,region,sub_region
PLATINUM,I,Sa5Hec7YjtEkfkHxQ189EV-Xj37fN1XYZtPwl8OZ7el4O8uxZedViQ2RapIgyPvJYNOo9D2iHA11UQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,REyEew6Yd4RI5Gjyvo8EU1c8QoIyXui0DQ7BnyQHHHA2PYMH6JfAP1vStEUfPjonTtFh6g9XYwjGrQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,9jn-hmnhwr2LjYqIYh1h0iNlmU6-tUEnEh6SGYc81ZsxgClNcirH_DL--EtW6cScozT7RRORlOQfLQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,9vPu7IKF33svQJPkn-DWyJfkU_IS0WFePOj4XTEW6_-T7ognIXy_AEAZU9tDXxyh7w30I7I2Q1BWOQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,FNriV8zfX9gin9ZJzl4uFxmfPOKE5AEzTD4SUVDAjTmwTrmmZP-OR9cREfJPT-9kVdTmQnUWi5uDtg,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,OSW4w9651ru00-gOhCUZ4-jiE0baufgH3id-BufO5y4i-sCEbEYrvakNgMFrWp3peYAFuxn22LOUSw,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,MplAE1i89O0XXn9xHxjaqKN0J8uXVUiuCHZWm17iUPKZPkk6sytPEKHDRGP4laIlcGQmcye10pFxgQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,b5lLXaPGjqvRStZmUPZlijoJeweNFTm3GiY306JeuqbloTpHXnsIq3AxTCYqLlxNr_jcZB5cjyLDjQ,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,0ZRnMT3ieGdFmOmPd_uCKt7P75ntoriHa2f7Ij4GjSShfVj9o3Ek7D-LLCfsAPdzS1eKoTB4-2OsZA,RANKED_SOLO_5x5,europe,eun1
PLATINUM,I,KtbkSZAW2b2yWi_XztoYuxkbDdyLeeW59i_26BSOPlzh3mScZULwuL9zED5G-ihZjXhUThZYE82mBg,RANKED_SOLO_5x5,europe,eun1
