tier,rank,puuid,queueType,region,sub_region
SILVER,III,F1mLnHYgicdanti7UKMfjP6NZM6co2Mj__ANc4BZuj7deAX-7rSy7RSMnStxWwiwJi_gky_i1j2K0g,RANKED_SOLO_5x5,europe,eun1
SILVER,III,-52UCSnpQBMSvGNx7b-oT5kWgSx_3naQDzAv4a4XHhZJz8xaBoWM4rrEKSvZSRZXvIobT47dJBL62w,RANKED_SOLO_5x5,europe,eun1
SILVER,III,I6d3bbwqefen2kwd5UnVhr6A6ayiMP5bUgD4ovT24ESl8Oq8RQCMsz_EPhMI6xVrFVPWfq1V1vAIjA,RANKED_SOLO_5x5,europe,eun1
SILVER,III,a8OsmON_CWQ_gdAJ4OnfF0Q4DXeCX1hVqmsC7R6EUgbKAnz7J-ZS4YT8M761hI_TS1-faYOKk2Oxsw,RANKED_SOLO_5x5,europe,eun1
SILVER,III,Rjm57IlynAc5yoAR7OOKX4H6DMFZrHO-1HhGwHHmgvQNIcWePt2sohPxCrEc0iPUr_1Va33cI2p8nQ,RANKED_SOLO_5x5,europe,eun1
SILVER,III,kIWeSnXdfTiOFmZ1IaeInSEYrQPpBQpCgcAQkXvgZJtO80BpXpCqFDkaH4ARkF4zaAP6wDgLRlcFDA,RANKED_SOLO_5x5,europe,eun1
SILVER,III,ELqli69WTVEDf0HpzOhbVuW0WakS9v5KqIfulQAOHeu0YnnkW3heYSzv6-fwpzrqHpwLqRfjgUdWGw,RANKED_SOLO_5x5,europe,eun1
SILVER,III,8FnAC5llgKyzYp1jKYt6EjwSeDGUf4_ougO8NS-nR6s916Rny1PmNe8ymVaL5c0mCN2-NhZfIkmv5Q,RANKED_SOLO_5x5,europe,eun1
SILVER,III,8N4LW7OcFvxM3dPFUrVw3s2wiK4_laoQGuj7MEG5pBaHJllFz7xnypQUtCcR_ubG8vCsniDz_d6LxQ,RANKED_SOLO_5x5,europe,eun1
SILVER,III,am_dSEnRuPJbz-_58atrQlXBEN-arTjwBBKYCeVeRxjpwBeAWmdYn1HTjnbsJJJ8XQoy-Q_Rzbl2pQ,RANKED_SOLO_5x5,europe,eun1
