tier,rank,puuid,queueType,region,sub_region
SILVER,II,PrOUFzXRoRT3Iug7xcuNQP3Pl_w_uWuVleUs2IN7zchA2U00fTV7oHKlBxZoXIl2XnJVI2V5AD4S7g,RANKED_SOLO_5x5,europe,eun1
SILVER,II,t_uRcYfG5JXyZd-HgCBF_GsKLSpYblEQkONcjhg-NAEqtV8vPFFAJeDaYEa_Ue4Gp75kOMsjWAENqg,RANKED_SOLO_5x5,europe,eun1
SILVER,II,PS-KDi-LtmSBmqBCsT9iUVAhGYa4VfD5E7HR_yjUlHe5dfDe2TBlP5TzBmjyPdIjqo23seHdVx6TpA,RANKED_SOLO_5x5,europe,eun1
SILVER,II,RWL6kgunqBkA031Kn8ivT7t-IKAO7oLsJ9_F-aHR_5Opz9a7ycL2grZ0R04_w7pUmVjbHVnIWPV0ug,RANKED_SOLO_5x5,europe,eun1
SILVER,II,4gnPuAhcyoddvRl-dS9g98G4-Y2gOEar3s8ZFiJS1PxS0qI6y4I6ZaddhgDGfJrSEOvakCjjz0eFVg,RANKED_SOLO_5x5,europe,eun1
SILVER,II,X6TD5pdP7je5kTgnk7NTW5gs2kKwSNkwhm3FHv9WLY2OvjTdFT6x-sXCQljVxN4eIhHBpRE3s5oJFg,RANKED_SOLO_5x5,europe,eun1
SILVER,II,ZLHRQaz7tGRvgDyC3VQGBvk8FZgU0eWWRN3UY1L2oqm4zg44wFnrmwAu5cTkt8MsjuQK7HK3E-y2Pg,RANKED_SOLO_5x5,europe,eun1
SILVER,II,_uTtHOltHThgTNE6uVzjqW1-3xdux0JKo8hzs7OjLgza9E4mIhCzJRQ8qNdTQzZ5VRRDqtN-IvXDUw,RANKED_SOLO_5x5,europe,eun1
SILVER,II,Dzj7bg9Kx5vtKUHw1lIi3CKFVxsGtu6rTiwePRgX1BnmD3uE8F5cMVv0CUWwIkoDrQay3E6SMRyk5w,RANKED_SOLO_5x5,europe,eun1
SILVER,II,XS61_Rdrty9i4HIMAFjBXvTi0SZuu_3RR18iDav6jHs9qS10Ou4ux7qW0NxcPWeIfVctME-teJt4xA,RANKED_SOLO_5x5,europe,eun1
