tier,rank,puuid,queueType,region,sub_region
SILVER,IV,pey_ldW7NF7VsZNbuZQiBfTlS5t0geVfkSE1edl4DoiuJdy2fWeka1d4oK50jL4oeqLLjus694lMRQ,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,bRb9JikkLAbNWzt5IN-eqa05YJkDO6x8-4PJmZmsg3clnQvO9C1q83G7k00PNWOCr_zwEqoAGzq50g,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,o20tNOm9m-XPB4DpkgchVxlwwH9wm-RUmzYL5tUzg019yI6GNbtIyqdge4K4D520Eh56CpWEj5fQgA,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,4Lvqnfs5B4wDOWXoE20WRmAGo4uJ8CYxqtj1nJ0xV3ORrLs8jczMP9iRgpOpSprbgN3qhAJLDp-RoQ,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,8cyATRV4HAaynX3EjMks7gxRrzAdlxpVg56POVAaynjO0JW5VXli1pzUEF4LdRGB205VPauGtTdXFQ,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,f6nhPfU98IVkfAwgzRs0gzlTzv5rRch9hyBNsKrt3ZpCWQ9dVNk9ZtVYlWWkB0QRh7elWhEUqRONTg,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,JT_Wbk94EEEoEZx3Wed5NOtGbK7kdhT0SDfj3Y2tivAus9aYcOD_icrJrIHg8RG5-pZuoWHbOk1E3Q,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,1lwa-IDdm5hrcxaeKW6LlikSk5cQ92hF3w8h-nCl5JicI8sacU_SGhGEX4KAuLrecWt5t_uVh8IKEg,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,I2UMlw428ab4_iNyTkhf9Y5gIldQd3c55QbHqxxcTuhAI8Wfn8J13MPVSNP1hexrfgHmKHzL1NaaMg,RANKED_SOLO_5x5,europe,eun1
SILVER,IV,cEXW4fDpv0JIqacpfR1EfHT4G5YMHnneIOm2e2Uad8qORv_HddCJC4z5w4_b8aiy9p0QbJUPA_O1iQ,RANKED_SOLO_5x5,europe,eun1
