tier,rank,puuid,queueType,region,sub_region
SILVER,I,GQURykaZ2-D_bMw4CFBZXlZSH-GPtRDWe25L3uRc34Nf3hCZWUdJ9zE45zsXOMCQoPAmy9lWh9ja4A,RANKED_SOLO_5x5,europe,eun1
SILVER,I,dYP2YmpGB4Bd9f2HE8ubxwJscLKMYlfyUpuJ3qY3-VqGXEJr5LBB1YjxEV82dlAfecd_eRdkjOX2kA,RANKED_SOLO_5x5,europe,eun1
SILVER,I,6wjjInYwMZY1vx_EbFYZ_R93HUXKUPlsgHBCjPLi0xz8nLcWWbuj9RhXqWm7bTmVRqiUL8tEHrWcAA,RANKED_SOLO_5x5,europe,eun1
SILVER,I,tB55OL-HD9YnfOmWij59BfnzDrSx_gjQlLJsMtd-PuonWkFyYqcXi1RtEqbIbWmUcycQnL9ZucOCRw,RANKED_SOLO_5x5,europe,eun1
SILVER,I,vQMEqC3x-hlYgpkEil-Junr4dfrz75ZieJEt-SijVJsn_KS5rkEe_E4YYNbvLqwZRPV4zxQW18EK7A,RANKED_SOLO_5x5,europe,eun1
SILVER,I,11eUcN7k2-HS_S9KGoe42t2395lr9jw1AcGZ5cx1LfQwPi5IZhsEN5X8uYDYZnPp_Csy9ZXuQHhIRg,RANKED_SOLO_5x5,europe,eun1
SILVER,I,LGuv3ic3WmPYRnaQoVlBa3knr-jtsOfjDeNcxRP0Ro8O5aZwhfWQ5FxM3a0Obkri-cUiDPDaBLOQ1g,RANKED_SOLO_5x5,europe,eun1
SILVER,I,dBA_UjoxDbZzPjvYqiHKuKHgV9C22gC82WxYWqydMNNUacDIA0W0_JvwM20IQluyGNPFghGN8h8m9w,RANKED_SOLO_5x5,europe,eun1
SILVER,I,LPJ4ddjBeSpl8uGh3NaRBpHC5_prb421cgoP_NzUKcTAoat8QQHaCHBqzRKiELmBlcVWDcqFLRuldw,RANKED_SOLO_5x5,europe,eun1
SILVER,I,TLPA7ga4ksVVoLWbL5gfHCS3xPJqyeAHZfuc2sUF3OngENrRsBm9FTr-hYUBD_4p4D9AfcrQJQB5bw,RANKED_SOLO_5x5,europe,eun1
